Company,Website,Email,Address
AARGEE Staffing Services Pvt. Ltd.,https://www.aargeestaffing.com/,hr@aargeestaffing.com,"177/103, “AMBALS BUILDING”, 3rd Floor, Avvai Shanmugam Salai, Royapettah, Chennai
600 014"
Ace Recruitment & Placement Consultants Pvt. Ltd.,http://www.aceconsultants.in,info@aceconsultants.in,"902, Surmount Byzantine, Opp. ISCON Mega Mall, Sarkhej – Gandhinagar Hwy, Satellite, Ahmedabad, Gujarat
380015"
AddRec Solutions Pvt. Ltd.,http://www.addrecsolutions.com,NA,"10, B Block, Second Floor , The Acropolis, Thaltej, Ahmedabad, Gujarat
380054"
Adler Talent Solutions Pvt. Ltd,http://www.adlertalent.com,info@adlertalent.com,"H-703, Titanium City Center – Business Park near IOC Petrol pump Prahaladnagar Satellite, Gujarat
380015"
Adroit Learning & Manpower Pvt. Ltd.,http://www.adroitnaukri.com,sarabjit@adroitnaukri.com,"6,second floor, Oxford Tower, Opp, Shilp Complex,Gurukul Road, Memnagar,Ahmedabad, Gujarat INDIA
380052"
Amor Management,http://www.amormc.com,info@amormc.com,"Race View Tower, New no 126 Old No. 71 3rd Floor, Manickam Ln, Guindy, Chennai, Tamil Nadu
600032"
APT HR,http://www.apthr.in,info@apthr.in,"A-512, Shilp Aaron, Nr Pakwaan cross road, Sindhu Bhavan, road, Bodakdev, Ahmedabad, Gujarat
380054"
Armour Corporate Services,http://www.armourcorp.in/,adesh.pande@armourcorp.in,"Duru House, 2nd Floor, Juhu Tara Rd, Mumbai, Maharashtra
400049"
Aryawarta Manpower Consultancy,NA,NA,"20, Shakuntal Appt,Nitlayout, Telecom Colony, Pratap Nagar, Nagpur, Maharashtra
440022"
Aurinko Management India Pvt Ltd,www.http://aurinkomanagement.com/,rashmi@aurinkomanagement.com,"Roadpali, plot 16, Kalamboli, Sector 16, Navi Mumbai, Maharashtra
410218"
Aventus Human Capital Solutions Pvt. Ltd.,https://aventus.in/,info@aventus.in,"40/48, Ground Floor, EPDP Rd, Pocket 40, Chittaranjan Park, New Delhi, Delhi
110019"
Avotima Systechs Pvt. Ltd.,http://www.avotima.com,NA,"A-509,BYCULLA SERVICE INDUSTRIES, MUMBAI, MAHARASHTRA, IN
400027"
Benchmark HR Solutions (India) LLP,NA,NA,Gujarat (Ahm)
Bluecrest HR Consulting Pvt. Ltd.,http://www.bluecresthr.com,NA,"401 A, Rushabh Arcade, Station Road, above Vimal Steel, Thane West, Maharashtra
400601"
C Search Consultants Pvt Ltd,http://www.csearchconsultants.com,careers@csearchconsultants.com,"DBS House, 308 to 312, Sardar Patel Rd, Secunderabad, Telangana
500003"
Cheric Information Network Technologies Pvt. Ltd.,http://www.cherictechnologies.com,info@cherictechnologies.com,"303, 4th Floor, Siri Sampada Hitech Building, Guttala_Begumpet, Jubilee Hills, Telangana
500033"
Cornerstone India Pvt. Ltd.,http://www.cornerstone.co.in,vijay@cornerstone.co.in,"313 Gokul Arcade, A Wing, Subhash Road, Vile Parle East Mumbai
400057"
D C Consultants,http://www.dcconsultants.in,info@dcconsultants.in,"1004, Neelkanth – 1, Plot no. 2, Sector 46A, Seawoods (W), Navi Mumbai 400 706, Navi Mumbai, Maharashtra
400706"
Datamatics Staffing Services Ltd.,http://www.datamaticsindia.com,mumbai@datamaticsindia.com,"5, Convent Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra
400005"
Dhruv Corporate (HR) Solutions Pvt. Ltd.,http://www.dcspl.com/,cp@dcspl.com,"B8, 703, 7th Floor, La Marina, Adani Shantigram, Near Vaishno Devi Circle, Ahmedabad"
Drishti Consultants Pvt. Ltd.,http://www.drishticonsultants.com,contact@drishticonsultants.com,"Optionz Complex, 403, Off, Chimanlal Girdharlal Rd, opp. Hotel Regenta, Ellisbridge, Ahmedabad, Gujarat
380006"
Easebiz Fintech Solutions LLP,http://www.ease.biz,hr@ease.biz,"Safal Pegasus Block-A, A 811, 100 Feet Anand Nagar Rd, Chinar Bungalows, Prahlad Nagar, Ahmedabad, Gujarat
380015"
Evoke HR Solutions Pvt Ltd,http://evokehr.com,info@evokehr.com,"GANESH GLORY, Shop No: 1111, 11th floor, Block-D, 11, Gota, Ahmedabad, Gujarat
382481"
Falcon HR Consulting Pvt. Ltd.,http://www.falconhr.com,feedback@falconhr.com,"902 Meadows, Sahar Plaza,Andheri Kurla Road,Andheri East, Mumbai
400059"
Fidelity IT Jobs,http://www.fitjobs.com,enquiry@fitjobs.com,"Neelkanth Udyog Bhavan, 11, Neelkanth Udyog Bhavan, Saki Naka, Andheri East, Mumbai
400072"
Forret India,https://www.forretindia.com/,careers@forretindia.com,"503, Aatish Annex, Nr. IDBI Building, Chimanlal Girdharlal Rd, opp. Kadva Patidar Hostel, Ahmedabad, Gujarat
380006"
GNF International,http://www.gnfinternational.com,client@gnfinternational.com,"1st floor, Sadbhav Complex, Drive In Rd, Nilmani Society, Memnagar, Ahmedabad, Gujarat
380059"
Good People Consulting LLP,http://www.goodpeopleconsulting.com,reachus@goodpeopleconsulting.co.in,"Suite 1506 / Tower B, Oberoi Splendor, JVLR, Andheri (East), Mumbai
400060"
GSS HR Solutions Pvt. Ltd,http://www.gsshrsolutions.com,joe.j@gsshrsolutions.com,"9th Floor, Esctacy Business park, City of Joy, JSD Road, Mulund West Mumbai, Maharashtra India
400080"
Harry International,https://harryinternational.in/,hi@harryinternational.in,"305 Jeet Complex, OFF, Chimanlal Girdharlal Rd, near Shri Mahaveer Swami Digambar Jain Mandir, Navrangpura, Ahmedabad, Gujarat
380009"
Headhunt Hr Consultants Pvt Ltd,http://www.headhunt.co.in,murali@headhunt.co.in,"Satya Two, Sola, Ahmedabad, Gujarat
380081"
Heads Quest,http://www.headsquest.com,info@headsquest.com,"Shivalik satyamev, Ambli – Bopal Rd, Ahmedabad, Gujarat
380058"
HireGlocal / Management Gaps Consulting Pvt Ltd,http://www.hireglocal.com,connect@hireglocal.com,"708 & 709, 7th Floor, Corporate Avenue, Sonawala Rd, opp. Atlanta Centre, Goregaon, Mumbai, Maharashtra
400063"
Hiringlink Talent Solutions LLP,http://www.hiringlink.in,contact@hiringlink.in,"301, Ashirwad Paras 1,Near Jaguar Showroom,S.G Road,Ahmedabad-55"
Horton India Executive Search Pvt. Ltd. (Zodiaac Executive Personnel Search),http://www.zodiaac.com,NA,"Suite 46, Navketan Industrial Estate, Mahakali Caves Road, Andheri(E), Mumbai, Maharashtra
400093"
iCan Manpower Consultancy Services,http://www.icanmanpower.com,requirements@icanmanpower.com,East India (Kolk)
iCresset Talent Solutions,https://www.icresset.com/,enquiry@icresset.com,"264 Spaze iTech Park, B1 Tower, Sector 49, Sohna Road, Gurugram, Haryana
122018"
Impact HR Services Pvt. Ltd.,http://www.impsmanagement.com,NA,"303 Saba Palace, 4th Road,, Khar (W),, Mumbai, Maharashtra, IN
400052"
Inteegrity Career Solutions Pvt. Ltd.,http://www.inteegrityconsults.com,yuvaraj.pawar@inteegrityconsults.com,"Marathon Maxima, First floor, The Playce 101, Lal Bahadur Shastri Rd, Mulund West, Mumbai, Maharashtra
400080"
Jobstation,http://jobstation.co.in,"bfsi@jobstation.co.in, fmcg@jobstation.co.in","502, Shivalik-9, opp. AWS-2, nr. Vasundhara Society, Gulbai Tekra, Ahmedabad, Gujarat
380006"
Keystone Consulting Pvt. Ltd,NA,NA,Tamil Nadu (Chennai)
Loyal Infoservices Pvt. Ltd.,http://www.loyalinfoservices.com,mail@loyalinfoservices.com,"C1, Ajanta Complex,, N5, CIDCO, Aurangabad, Maharashtra, IN
431003"
Mantras2Success Consultants,http://www.mantras2success.com,jitu@mantras2success.com,"A-309,Titanium City Center, 100 Feet Anand Nagar Rd, near Aykar Bhavan, Prahlad Nagar, Ahmedabad, Gujarat
380015"
Miracle Consultancy,http://www.miracleconsultancy.biz,shyamal@miracleconsultancy.biz,"301, Northview, Opp L.D Engineering College, University Rd, nr. Old Passport Office, Ahmedabad, Gujarat
380009"
MM Management Consultant ,http://www.m3consultant.in,info@m3consultant.in,"Sakar-9, 415 B, Ashram Rd, opp. Times of India, Ahmedabad, Gujarat
380009"
Omnifin Solutions Pvt. Ltd.,http://www.omnifin.in,NA,"Diamond Arcade, Suit 313, 68 Jessore Road, Kolkata
700055"
Park Business Consultants Pvt. Ltd.,http://www.parkconsultants.in,NA,"Level 4, Amfotech Business Park, Road no 8, Opp old passport office, Thane, Maharashtra, IN
400606"
People First Consultants Pvt. Ltd.,http://www.peoplefirst.co.in,people@peoplefirst.co.in,"3/2, 3rd E St, Kamaraj Nagar, Thiruvanmiyur, Chennai, Tamil Nadu
600041"
Placement Expert,https://placementexpert.com/,inquiry@placementexpert.com,"504, Charbhuja Towers Near Bhayandar West Police Station, Uttan Rd, Bhayandar West, Mumbai, Maharashtra
401101"
Post a Resume HR Consultancy,http://postaresume.co.in,info@postaresume.co.in,"604 Satya-1, opposite Manav Mandir, near Helmet Circle, Memnagar, Ahmedabad, Gujarat
380052"
Premier Consultants,http://www.thepremierconsultants.com/,NA,"1004, 10th Floor, BSquare 1, Iskon Ambli Bopal BRTS Road, opp. Hathisingh Wadi, next to Shilp Aperia, Ahmedabad, Gujarat
380054"
Prime Placement and Manpower Services,http://www.primeplacement.org,hitesh@primeplacement.org,"B-5, Jayraj Complex, 2nd Floor, Opp. Creata Ice-Cream, Soni Ni Chali 4 Rasta, Odhav Road, Ahmedabad, Gujarat, INDIA
382415"
Prompt Personnel Consultancy Services Pvt. Ltd.,http://www.promptpersonnel.com,customercare@promptpersonnel.com,"612/613,Palm Spring Centre, Mind Space, New Link Road, Malad (w), Mumbai, Maharashtra
400064"
Quess Corp Ltd. (Ikya Human Capital Solutions Pvt Ltd),https://www.quesscorp.com/,help@quesscorp.com,"3/3/2 Bellandur Gate, Sarjapur Road, Bengaluru, Karnataka, India
560103"
rFactor Consultants,http://www.rfactorconsultants.com,info@rfactorconsultants.com,"230, National Storage Building Mahim (W), Mumbai, Maharashtra
400016"
RK HR Management,https://www.rkhrm.com/,contact@rkhrm.com,"F-504 & E-208, Titanium City Center, 100 Feet Anand Nagar Rd, near SACHIN TOWER, Satellite, Ahmedabad, Gujarat
380015"
Ross Warner HR Solution (Kosmic Rays Hr Solutions Pvt Ltd),http://www.rosswarnerhr.com,nikhil@rosswarnerhr.com,"A-609, Kailash Business Park, Park Site, Hiranandani – Vikhroli Link Road, Vikhroli West, Mumbai
400079"
Sampoorna Consultants Pvt. Ltd.,http://www.sampoorna.com/,NA,"XR4R+F3M, Kalbadevi, Mumbai, pune, Maharashtra
400002"
Shayona Consultants,http://www.shayonaconsultants.com,bharat@shayonaconsultants.com,"54, 5th Floor,Sarovar Complex, Nr. Girish ColdDrinks Cross Road, Opp. Metro Shoe, Off. C.G.Raod, Navrangpura, Ahmedabad
380009"
